id,group_id,label,tf_snippet
1.log::f00,1.log,0,"resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-i0""
  address_space       = [""10.1.0.0/24""]
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-y6""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-dp""
  resource_group_name = ""rg-prod-eastus-bh""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.4.3.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-sa""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-hx""

  ip_configuration {
    name = ""internal-th""
    private_ip_address_allocation = ""eastus""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f01,1.log,0,"resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-h1""
  address_space       = [""10.6.5.0/24""]
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-dn""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-mm""
  resource_group_name = ""rg-prod-eastus-jb""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.4.2.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-qe""
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-7c""

  ip_configuration {
    name = ""internal-kw""
    private_ip_address_allocation = ""eastus2""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f02,1.log,0,"resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-5n""
  address_space       = [""10.3.4.0/24""]
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-q4""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-fm""
  resource_group_name = ""rg-prod-eastus-yz""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.1.3.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-yc""
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-wt""

  ip_configuration {
    name = ""internal-iq""
    private_ip_address_allocation = ""eastus2""
    # intentionally no subnet reference here
  }
}"
1.log::f03,1.log,0,"# generated 2025-08-08T07:16:18.516907+00:00
resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-oc""
  address_space       = [""10.0.3.0/24""]
  location = ""westeurope""
  resource_group_name = ""rg-prod-eastus-6u""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-zh""
  resource_group_name = ""rg-prod-eastus-r5""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.0.5.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-xf""
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-f0""

  ip_configuration {
    name = ""internal-t0""
    private_ip_address_allocation = ""westeurope""
    # intentionally no subnet reference here
  }
}"
1.log::f04,1.log,0,"# generated 2025-08-08T07:16:18.516907+00:00
resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-14""
  address_space       = [""10.2.8.0/24""]
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-ff""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-yv""
  resource_group_name = ""rg-prod-eastus-nv""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.7.1.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-qj""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-t7""

  ip_configuration {
    name = ""internal-ye""
    private_ip_address_allocation = ""japaneast""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f05,1.log,0,"# generated 2025-08-08T07:16:18.517918+00:00
resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-1s""
  address_space       = [""10.7.0.0/24""]
  location = ""eastus""
  resource_group_name = ""rg-prod-eastus-dw""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-4s""
  resource_group_name = ""rg-prod-eastus-hn""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.4.8.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-f8""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-77""

  ip_configuration {
    name = ""internal-vr""
    private_ip_address_allocation = ""japaneast""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f06,1.log,0,"resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-39""
  address_space       = [""10.9.1.0/24""]
  location = ""westeurope""
  resource_group_name = ""rg-prod-eastus-te""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-x8""
  resource_group_name = ""rg-prod-eastus-fs""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.1.7.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-v8""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-71""

  ip_configuration {
    name = ""internal-yz""
    private_ip_address_allocation = ""westeurope""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f07,1.log,0,"# generated 2025-08-08T07:16:18.517918+00:00
resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-at""
  address_space       = [""10.3.3.0/24""]
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-va""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-zc""
  resource_group_name = ""rg-prod-eastus-cb""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.1.5.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-ls""
  location = ""uksouth""
  resource_group_name = ""rg-prod-eastus-kr""

  ip_configuration {
    name = ""internal-t0""
    private_ip_address_allocation = ""westeurope""
    # intentionally no subnet reference here
  }
}
# eof
"
1.log::f08,1.log,0,"# generated 2025-08-08T07:16:18.517918+00:00
resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-xm""
  address_space       = [""10.6.3.0/24""]
  location = ""eastus2""
  resource_group_name = ""rg-prod-eastus-o5""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-bx""
  resource_group_name = ""rg-prod-eastus-xc""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.1.1.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-02""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-dg""

  ip_configuration {
    name = ""internal-tf""
    private_ip_address_allocation = ""westeurope""
    # intentionally no subnet reference here
  }
}"
1.log::f09,1.log,0,"resource ""azurerm_virtual_network"" ""vnet"" {
  name = ""vnet-main-xt""
  address_space       = [""10.7.8.0/24""]
  location = ""westeurope""
  resource_group_name = ""rg-prod-eastus-ad""
}

resource ""azurerm_subnet"" ""subnet"" {
  name = ""subnet-prod-1i""
  resource_group_name = ""rg-prod-eastus-or""
  virtual_network_name = azurerm_virtual_network.vnet.name
  address_prefixes     = [""10.1.0.0/24""]
}

resource ""azurerm_network_interface"" ""nic"" {
  name = ""vmnic01-56""
  location = ""japaneast""
  resource_group_name = ""rg-prod-eastus-fa""

  ip_configuration {
    name = ""internal-o7""
    private_ip_address_allocation = ""westeurope""
    # intentionally no subnet reference here
  }
}"
